date,Low,High
1/2/1995,21.82857143,31.52857143
1/9/1995,22.15714286,32.07142857
1/16/1995,22.2,32.3
1/23/1995,23.01428571,31.04285714
1/30/1995,20.6,31.68571429
2/6/1995,20.88571429,31.97142857
2/13/1995,23.14285714,32.58571429
2/20/1995,23.01428571,33.27142857
2/27/1995,23.45714286,32.7
3/6/1995,22.98571429,32.88571429
3/13/1995,23.85714286,34.17142857
3/20/1995,24.27142857,33.14285714
3/27/1995,24.82857143,33.74285714
4/3/1995,25.21428571,35.37142857
4/10/1995,25.52857143,34.54285714
4/17/1995,25.74285714,34.34285714
4/24/1995,26.14285714,35.62857143
5/1/1995,26.42857143,36
5/8/1995,25.78571429,32.2
5/15/1995,25.95714286,33.84285714
5/22/1995,25.91428571,32.92857143
5/29/1995,25.28571429,32.41428571
6/5/1995,25.55714286,32.22857143
6/12/1995,25.37142857,31.95714286
6/19/1995,24.88571429,31.02857143
6/26/1995,24.87142857,30.94285714
7/3/1995,24.35714286,30.82857143
7/10/1995,24.02857143,30.05714286
7/17/1995,23.87142857,30.4
7/24/1995,24.21428571,30.48571429
7/31/1995,24.18571429,30.64285714
8/7/1995,24.61428571,31.1
8/14/1995,24.67142857,31.14285714
8/21/1995,24.25714286,28.98571429
8/28/1995,24.45714286,29.57142857
9/4/1995,23.84285714,28.9
9/11/1995,23.94285714,29.4
9/18/1995,24.04285714,29.44285714
9/25/1995,23.71428571,30.25714286
10/2/1995,23.88571429,29.31428571
10/9/1995,24.15714286,29.81428571
10/16/1995,24.12857143,30.75714286
10/23/1995,23.68571429,30.27142857
10/30/1995,23.55714286,29.94285714
11/6/1995,23.82857143,30.18571429
11/13/1995,23.38571429,30.24285714
11/20/1995,22.68571429,28.61428571
11/27/1995,22.08571429,27.82857143
12/4/1995,20.61428571,28.48571429
12/11/1995,21.75714286,28.27142857
12/18/1995,22.34285714,29.48571429
12/25/1995,21.02857143,28.52857143
1/1/1996,19.17142857,28.87142857
1/8/1996,21.5,30.42857143
1/15/1996,20.95714286,30.78571429
1/22/1996,22.9,29.75714286
1/29/1996,22.04285714,29.6
2/5/1996,21.91428571,31.07142857
2/12/1996,23.25714286,32.24285714
2/19/1996,23.02857143,33.14285714
2/26/1996,22.05714286,32.22857143
3/4/1996,21.67142857,33.3
3/11/1996,23.58571429,34.48571429
3/18/1996,24.78571429,34.98571429
3/25/1996,25.38571429,35.45714286
4/1/1996,25.38571429,33.98571429
4/8/1996,25.18571429,32.48571429
4/15/1996,25.12857143,32.84285714
4/22/1996,24.85714286,32.05714286
4/29/1996,25.41428571,32.48571429
5/6/1996,25.54285714,32.65714286
5/13/1996,24.42857143,29.98571429
5/20/1996,24.68571429,31.01428571
5/27/1996,24.9,31.3
6/3/1996,24.77142857,30.88571429
6/10/1996,24.47142857,29.71428571
6/17/1996,24.15714286,29.82857143
6/24/1996,24.47142857,31.28571429
7/1/1996,24.62857143,30.91428571
7/8/1996,24.32857143,30.44285714
7/15/1996,24.3,30.18571429
7/22/1996,24.35714286,30.14285714
7/29/1996,24.58571429,30.47142857
8/5/1996,24.35714286,30.6
8/12/1996,24.15714286,31.48571429
8/19/1996,23.74285714,30.31428571
8/26/1996,23.87142857,30.25714286
9/2/1996,23.55714286,29.24285714
9/9/1996,24.44285714,30.02857143
9/16/1996,24.6,30.77142857
9/23/1996,24.15714286,29.35714286
9/30/1996,23.74285714,29.2
10/7/1996,23.67142857,30.41428571
10/14/1996,23.98571429,30.1
10/21/1996,23.58571429,29.3
10/28/1996,23.45714286,28.77142857
11/4/1996,23.31428571,30.12857143
11/11/1996,23.55714286,29.64285714
11/18/1996,22.61428571,29.64285714
11/25/1996,23.48571429,29.64285714
12/2/1996,23.28571429,28.72857143
12/9/1996,22.12857143,29.05714286
12/16/1996,22.22857143,27.08571429
12/23/1996,20.18571429,27.65714286
12/30/1996,19.84285714,28.2
1/6/1997,19.35714286,28.8
1/13/1997,20.57142857,29.72857143
1/20/1997,20.9,30.41428571
1/27/1997,21.8,31.41428571
2/3/1997,23.28571429,31.54285714
2/10/1997,23.6,30.64285714
2/17/1997,22.58571429,30.85714286
2/24/1997,22.91428571,31.7
3/3/1997,22.3,32.67142857
3/10/1997,23.65714286,32.81428571
3/17/1997,24.25714286,32.84285714
3/24/1997,24.58571429,35.11428571
3/31/1997,24.87142857,34.5
4/7/1997,24.95714286,31.92857143
4/14/1997,24.7,32.38571429
4/21/1997,24.87142857,34.04285714
4/28/1997,25.85714286,34.77142857
5/5/1997,25.97142857,33.9
5/12/1997,25.47142857,32.72857143
5/19/1997,24.9,31.28571429
5/26/1997,25.21428571,30.6
6/2/1997,24.7,30.61428571
6/9/1997,24.68571429,32.3
6/16/1997,25.17142857,32.64285714
6/23/1997,24.52857143,30.27142857
6/30/1997,24.21428571,31.08571429
7/7/1997,24.25714286,30.15714286
7/14/1997,24.08571429,29.67142857
7/21/1997,24.3,29.55714286
7/28/1997,24.54285714,29.14285714
8/4/1997,23.81428571,30.6
8/11/1997,24.61428571,31.44285714
8/18/1997,24.64285714,29.87142857
8/25/1997,24.2,30.72857143
9/1/1997,24.25714286,31.67142857
9/8/1997,24.1,30.94285714
9/15/1997,23.77142857,28.54285714
9/22/1997,24,29.95714286
9/29/1997,23.55714286,29.92857143
10/6/1997,23.72857143,30.47142857
10/13/1997,23.95714286,30.71428571
10/20/1997,23.97142857,30.8
10/27/1997,23.7,29.94285714
11/3/1997,23.14285714,29.67142857
11/10/1997,23.24285714,30.42857143
11/17/1997,23.32857143,30.81428571
11/24/1997,23.22857143,31.18571429
12/1/1997,22.38571429,31.92857143
12/8/1997,23.72857143,31.78571429
12/15/1997,22.75714286,33.3
12/22/1997,22.78571429,32.47142857
12/29/1997,22.27142857,32.67142857
1/5/1998,23.97142857,33.78571429
1/12/1998,23.87142857,33.25714286
1/19/1998,23.94285714,34.17142857
1/26/1998,24.24285714,34.01428571
2/2/1998,24.3,33.94285714
2/9/1998,23.94285714,33.9
2/16/1998,24.22857143,33.98571429
2/23/1998,24.88571429,33.84285714
3/2/1998,24.92857143,35.25714286
3/9/1998,24.94285714,35.04285714
3/16/1998,23.64285714,34.55714286
3/23/1998,25.45714286,36.34285714
3/30/1998,26.15714286,36.58571429
4/6/1998,26.04285714,35.62857143
4/13/1998,26.07142857,34.04285714
4/20/1998,26,33.51428571
4/27/1998,26.22857143,34.28571429
5/4/1998,27.24285714,36.6
5/11/1998,27.08571429,35.38571429
5/18/1998,26.8,33.12857143
5/25/1998,26.44285714,31.74285714
6/1/1998,25.47142857,32.44285714
6/8/1998,25.42857143,31.15714286
6/15/1998,25.45714286,31.57142857
6/22/1998,24.95714286,30.51428571
6/29/1998,24.32857143,30.48571429
7/6/1998,24.77142857,30.98571429
7/13/1998,25.04285714,31.67142857
7/20/1998,24.71428571,31.65714286
7/27/1998,24.47142857,30.74285714
8/3/1998,24.57142857,30.17142857
8/10/1998,24.58571429,31
8/17/1998,24.22857143,30.52857143
8/24/1998,24.92857143,32.3
