date,Low,High
2020-05-28,15496.7060546875,15912.7255859375
2020-05-29,15566.04296875,15739.3837890625
2020-06-01,15739.3837890625,16294.076171875
2020-06-02,16224.7392578125,16848.767578125
2020-06-03,16328.744140625,16675.42578125
2020-06-04,16710.095703125,17264.787109375
2020-06-05,16779.431640625,17126.11328125
2020-06-08,17056.77734375,17472.796875
2020-06-09,16779.431640625,17334.123046875
2020-06-10,16710.095703125,17334.123046875
2020-06-11,15912.7255859375,17195.451171875
2020-06-12,15323.365234375,16155.4033203125
2020-06-15,15323.365234375,16294.076171875
2020-06-16,15739.3837890625,16120.734375
2020-06-17,15878.056640625,16120.734375
2020-06-18,15739.3837890625,16086.06640625
2020-06-19,15912.7255859375,16224.7392578125
2020-06-22,16120.734375,16432.748046875
2020-06-23,15982.0615234375,16328.744140625
2020-06-24,15739.3837890625,16328.744140625
2020-06-25,15531.375,15843.388671875
2020-06-26,15531.375,15982.0615234375
2020-06-29,15011.3505859375,15635.37890625
2020-06-30,14838.009765625,15531.375
2020-07-01,14942.0146484375,15462.0380859375
2020-07-02,15323.365234375,15600.7109375
2020-07-03,15462.0380859375,15566.04296875
2020-07-06,15566.04296875,16155.4033203125
2020-07-07,16086.06640625,16432.748046875
2020-07-08,16155.4033203125,16640.7578125
2020-07-09,16328.744140625,16779.431640625
2020-07-10,16328.744140625,16744.763671875
2020-07-13,16606.08984375,17056.77734375
2020-07-14,16502.0859375,16848.767578125
2020-07-15,16710.095703125,16883.435546875
2020-07-16,16432.748046875,16710.095703125
2020-07-17,16502.0859375,16848.767578125
2020-07-20,16467.41796875,16710.095703125
2020-07-21,16259.408203125,16606.08984375
2020-07-22,16190.0712890625,16606.08984375
2020-07-23,15947.3935546875,16294.076171875
2020-07-24,15115.35546875,16120.734375
2020-07-27,14352.654296875,15184.6923828125
2020-07-28,14560.6640625,15115.35546875
2020-07-29,14144.64453125,14768.6728515625
2020-07-30,14560.6640625,14872.677734375
2020-07-31,14491.3271484375,14907.345703125
2020-08-03,14664.66796875,15115.35546875
2020-08-04,15184.6923828125,15462.0380859375
2020-08-05,15254.0283203125,15739.3837890625
2020-08-06,15496.7060546875,15808.720703125
2020-08-07,15566.04296875,15878.056640625
2020-08-10,15808.720703125,16224.7392578125
2020-08-11,15808.720703125,16155.4033203125
2020-08-12,16086.06640625,16502.0859375
2020-08-13,16432.748046875,16571.421875
2020-08-14,16120.734375,16536.75390625
2020-08-17,16051.3984375,16328.744140625
2020-08-18,16016.73046875,16328.744140625
2020-08-19,16051.3984375,16294.076171875
2020-08-20,16120.734375,16328.744140625
2020-08-21,16294.076171875,16918.103515625
2020-08-24,16918.103515625,17195.451171875
